item_id,post_id,actual_topic,text_no_stopwords,model,dominant_latent_topic,dominant_topic_probability,latent_topic_0_prob,latent_topic_1_prob,latent_topic_2_prob,latent_topic_3_prob
1,48763541,Artificial Intelligence,congrats guys does automated testing using chatgpt claude clients work,nmf,1,0.021516,0.000505,0.021516,0.017479,0.008197
2,48760390,Artificial Intelligence,learn claude chatgpt just safe,nmf,1,0.025673,0.005325,0.025673,0.014316,0.009419
3,48735814,Artificial Intelligence,didnt include chatgpt comparison chart tells lot,nmf,1,0.016033,8.8e-05,0.016033,0.015976,0.008284
4,48726491,Artificial Intelligence,chatgpt 5 6,nmf,2,0.02678,0.0,0.025834,0.02678,0.013987
5,48718328,Artificial Intelligence,blog post pretty pretty strong copy edited chatgpt vibes,nmf,1,0.010865,0.003407,0.010865,0.007789,0.004128
6,48713069,Artificial Intelligence,sure claude chatgpt siemens deep resolve,nmf,2,0.013705,0.0,0.013615,0.013705,0.007726
7,48699484,Artificial Intelligence,dear chatgpt patch hole sock,nmf,2,0.02678,0.0,0.025834,0.02678,0.013987
8,48765367,Artificial Intelligence,veb openai shall dig auferstanden aus ruinen vinyl,nmf,2,0.022021,6e-06,0.015747,0.022021,0.016916
9,48764961,Artificial Intelligence,related openai early talks 5 stake government,nmf,2,0.010113,0.002298,0.005092,0.010113,0.005326
10,48759295,Artificial Intelligence,openai advantage mistake,nmf,2,0.022021,6e-06,0.015747,0.022021,0.016916
11,48756530,Artificial Intelligence,does support azure openai aws bedrock models,nmf,1,0.023424,0.0,0.023424,0.016142,0.010986
12,48753499,Artificial Intelligence,pretty openai vacation week,nmf,2,0.009823,0.003414,0.007326,0.009823,0.007507
13,48752694,Artificial Intelligence,amusing openai good guy end,nmf,2,0.01539,0.007282,0.011384,0.01539,0.013006
14,48752435,Artificial Intelligence,openai chinese firms bringing needed competition,nmf,2,0.007994,0.0,0.00462,0.007994,0.004851
15,48572345,Artificial Intelligence,gen z hates ai according,nmf,1,0.050395,0.002083,0.050395,0.001475,0.0
16,48321949,Artificial Intelligence,op article llm rewrite futurism article,nmf,0,0.006886,0.006886,0.00485,0.001645,0.000265
17,47611583,Artificial Intelligence,banning ai programming just specifically large language models,nmf,1,0.062305,0.005348,0.062305,0.003363,0.002553
18,48700545,Artificial Intelligence,machine learning layer cake brute force crumbs,nmf,1,0.20964,0.0,0.20964,0.0,0.0
19,48690164,Artificial Intelligence,llms general category ai machine learning,nmf,1,0.24153,0.0,0.24153,0.0,0.0
20,48677284,Artificial Intelligence,machine learning generative ai,nmf,1,0.285772,0.0,0.285772,0.0,0.0
21,48473855,Artificial Intelligence,machine learning just security bug finding biology,nmf,1,0.164758,0.001762,0.164758,0.0,0.0
22,48356265,Artificial Intelligence,isn funny term machine learning just completely vanished,nmf,1,0.168354,0.004848,0.168354,0.0,0.0
23,47584847,Artificial Intelligence,openai testing ads,nmf,2,0.010549,0.0,0.006221,0.010549,0.00634
24,47583990,Artificial Intelligence,free version chatgpt insanely crippled surprising,nmf,2,0.016427,0.0,0.015505,0.016427,0.005272
25,47572315,Artificial Intelligence,openai chatgpt codex anthropic claude google gemini,nmf,2,0.015532,0.0,0.013009,0.015532,0.008914
26,47572013,Artificial Intelligence,response sounds awful lot like chatgpt say,nmf,1,0.038952,0.001877,0.038952,0.018204,0.015257
27,47556698,Artificial Intelligence,best definition chatgpt seen,nmf,1,0.014485,0.001163,0.014485,0.010041,0.004715
28,47543775,Artificial Intelligence,refactoring stuff chatgpt usage,nmf,2,0.019515,0.0,0.009708,0.019515,0.015369
29,47541456,Artificial Intelligence,just patterns cadence nice try chatgpt,nmf,1,0.022935,0.009544,0.022935,0.0178,0.008306
30,47589965,Artificial Intelligence,open ai sitll pouring money oracle btw,nmf,1,0.039302,0.00254,0.039302,0.008541,0.0
31,47577248,Artificial Intelligence,openai undergoing significant strategic pivot developing world models,nmf,1,0.015899,0.001077,0.015899,0.008049,0.013656
32,47576402,Artificial Intelligence,openai,nmf,2,0.022021,6e-06,0.015747,0.022021,0.016916
33,47575882,Artificial Intelligence,openai ip ranges known,nmf,2,0.010658,0.0,0.007549,0.010658,0.008131
34,47570708,Artificial Intelligence,integrity openai basically oxymoron point,nmf,2,0.010057,0.0,0.006599,0.010057,0.007452
35,47570210,Artificial Intelligence,fallout openai goes,nmf,1,0.011129,0.0,0.011129,0.010619,0.008341
36,47430786,Artificial Intelligence,yea afraid ai atrophies brain,nmf,1,0.096148,0.004158,0.096148,0.002594,0.0
37,47054845,Artificial Intelligence,llvm low level virtual machine llm large language model,nmf,1,0.08411,0.0,0.08411,0.0,0.001862
38,47552815,Artificial Intelligence,llm logic weights derived machine learning,nmf,1,0.19101,0.0,0.19101,0.0,0.0
39,47475499,Artificial Intelligence,finally machine learning model confirm lack self control,nmf,1,0.177002,0.001775,0.177002,0.0,0.0
40,47306185,Artificial Intelligence,wait decision tree machine learning,nmf,1,0.278173,0.0,0.278173,0.0,0.0
41,47255735,Artificial Intelligence,heard machine learning,nmf,1,0.282876,0.001825,0.282876,0.0,0.0
42,47179507,Artificial Intelligence,does ai meant machine learning 2001,nmf,1,0.337324,0.0,0.337324,0.00138,0.001657
43,47134171,Artificial Intelligence,translation main application applied language machine learning,nmf,1,0.172823,0.0,0.172823,0.0,0.0
44,46729320,Artificial Intelligence,essentially manifold hypothesis machine learning right,nmf,1,0.193329,0.000745,0.193329,0.0,0.004003
45,46626860,Artificial Intelligence,blog writes machine learning programing,nmf,1,0.278756,0.0,0.278756,0.0,0.0
46,46449277,Artificial Intelligence,thanks letting know chatgpt told,nmf,3,0.01056,0.001056,0.009095,0.009686,0.01056
47,46443858,Artificial Intelligence,like ai chat chatgpt ai chats interchangeable,nmf,1,0.088915,0.004494,0.088915,0.015028,0.009499
48,46440286,Artificial Intelligence,did write comment chatgpt,nmf,2,0.017888,0.0,0.010253,0.017888,0.006492
49,46431055,Artificial Intelligence,website optimized searches chatgpt gemini claude,nmf,2,0.011792,0.0,0.010645,0.011792,0.005789
50,46428650,Artificial Intelligence,sounds like cookie cutter chatgpt reply,nmf,1,0.052275,0.00241,0.052275,0.023208,0.019492
51,46427822,Artificial Intelligence,chatgpt told mcdonald,nmf,2,0.013855,0.0,0.013233,0.013855,0.007299
52,46446488,Artificial Intelligence,training ai models investing ai companies openai,nmf,1,0.065913,0.003682,0.065913,0.008726,0.002813
53,46444887,Artificial Intelligence,sure make openai stock liquid pretty easily,nmf,2,0.011342,0.003878,0.008771,0.011342,0.009692
54,46443096,Artificial Intelligence,deepseek invested openai,nmf,2,0.011524,0.0,0.008618,0.011524,0.008602
55,46442802,Artificial Intelligence,openais losses taxed earnings,nmf,0,0.0,0.0,0.0,0.0,0.0
56,46442425,Artificial Intelligence,openai optimize future,nmf,3,0.017842,0.0,0.008135,0.010723,0.017842
57,46439901,Artificial Intelligence,mathematically impossible openai promising citation needed,nmf,1,0.011112,0.0,0.011112,0.006212,0.004848
58,46436211,Artificial Intelligence,openai way commercially successful,nmf,2,0.011125,0.00209,0.007833,0.011125,0.007495
59,46393258,Artificial Intelligence,pluribus certainly commentary software machine learning models,nmf,1,0.207725,0.0,0.207725,0.0,0.0
60,46329242,Artificial Intelligence,afaik enemies trained machine learning,nmf,1,0.265991,0.0,0.265991,0.0,0.0
61,46090660,Artificial Intelligence,sounds awfully like machine learning doesn,nmf,1,0.263266,0.001798,0.263266,0.001768,0.004459
62,45607623,Artificial Intelligence,translation moreso machine learning generative hallucinations chatbot,nmf,1,0.218372,0.0,0.218372,0.0,0.0
63,45593096,Artificial Intelligence,actual machine learning yesterday hype today humility,nmf,1,0.186193,0.0,0.186193,0.0,0.0
64,45431199,Artificial Intelligence,just ask chatgpt design airplane easy,nmf,1,0.022927,0.006915,0.022927,0.01087,0.007347
