item_id,post_id,actual_topic,text_no_stopwords,model,dominant_latent_topic,dominant_topic_probability,latent_topic_0_prob,latent_topic_1_prob,latent_topic_2_prob,latent_topic_3_prob
1,48763541,Artificial Intelligence,congrats guys does automated testing using chatgpt claude clients work,lda,3,0.92425,0.025268,0.025029,0.025453,0.92425
2,48760390,Artificial Intelligence,learn claude chatgpt just safe,lda,3,0.591278,0.306774,0.050861,0.051087,0.591278
3,48735814,Artificial Intelligence,didnt include chatgpt comparison chart tells lot,lda,0,0.525474,0.525474,0.063675,0.063692,0.34716
4,48726491,Artificial Intelligence,chatgpt 5 6,lda,3,0.622169,0.125002,0.125002,0.127827,0.622169
5,48718328,Artificial Intelligence,blog post pretty pretty strong copy edited chatgpt vibes,lda,2,0.90464,0.031261,0.031579,0.90464,0.032519
6,48713069,Artificial Intelligence,sure claude chatgpt siemens deep resolve,lda,3,0.810555,0.062506,0.063198,0.06374,0.810555
7,48699484,Artificial Intelligence,dear chatgpt patch hole sock,lda,3,0.622169,0.125002,0.125002,0.127827,0.622169
8,48765367,Artificial Intelligence,veb openai shall dig auferstanden aus ruinen vinyl,lda,2,0.621073,0.125002,0.125003,0.621073,0.128922
9,48764961,Artificial Intelligence,related openai early talks 5 stake government,lda,1,0.643528,0.054458,0.643528,0.249986,0.052028
10,48759295,Artificial Intelligence,openai advantage mistake,lda,2,0.621073,0.125002,0.125003,0.621073,0.128922
11,48756530,Artificial Intelligence,does support azure openai aws bedrock models,lda,2,0.890138,0.036287,0.035915,0.890138,0.03766
12,48753499,Artificial Intelligence,pretty openai vacation week,lda,2,0.81002,0.062525,0.064217,0.81002,0.063238
13,48752694,Artificial Intelligence,amusing openai good guy end,lda,2,0.811266,0.062513,0.06321,0.811266,0.063012
14,48752435,Artificial Intelligence,openai chinese firms bringing needed competition,lda,2,0.554348,0.04583,0.355464,0.554348,0.044358
15,48572345,Artificial Intelligence,gen z hates ai according,lda,2,0.748693,0.084031,0.083361,0.748693,0.083916
16,48321949,Artificial Intelligence,op article llm rewrite futurism article,lda,2,0.840288,0.050343,0.053949,0.840288,0.05542
17,47611583,Artificial Intelligence,banning ai programming just specifically large language models,lda,2,0.888341,0.037405,0.037057,0.888341,0.037196
18,48700545,Artificial Intelligence,machine learning layer cake brute force crumbs,lda,2,0.84897,0.05002,0.050982,0.84897,0.050028
19,48690164,Artificial Intelligence,llms general category ai machine learning,lda,2,0.874124,0.041799,0.042293,0.874124,0.041783
20,48677284,Artificial Intelligence,machine learning generative ai,lda,2,0.849638,0.050192,0.050008,0.849638,0.050162
21,48473855,Artificial Intelligence,machine learning just security bug finding biology,lda,2,0.899584,0.033515,0.032252,0.899584,0.034649
22,48356265,Artificial Intelligence,isn funny term machine learning just completely vanished,lda,2,0.725426,0.032952,0.209633,0.725426,0.031989
23,47584847,Artificial Intelligence,openai testing ads,lda,3,0.80705,0.062514,0.062842,0.067594,0.80705
24,47583990,Artificial Intelligence,free version chatgpt insanely crippled surprising,lda,3,0.811605,0.062508,0.062509,0.063379,0.811605
25,47572315,Artificial Intelligence,openai chatgpt codex anthropic claude google gemini,lda,2,0.903147,0.031256,0.031373,0.903147,0.034224
26,47572013,Artificial Intelligence,response sounds awful lot like chatgpt say,lda,2,0.588122,0.315578,0.050413,0.588122,0.045887
27,47556698,Artificial Intelligence,best definition chatgpt seen,lda,3,0.64278,0.052515,0.050028,0.254676,0.64278
28,47543775,Artificial Intelligence,refactoring stuff chatgpt usage,lda,2,0.457693,0.067853,0.304969,0.457693,0.169485
29,47541456,Artificial Intelligence,just patterns cadence nice try chatgpt,lda,3,0.591565,0.051006,0.306809,0.05062,0.591565
30,47589965,Artificial Intelligence,open ai sitll pouring money oracle btw,lda,2,0.844789,0.05054,0.050984,0.844789,0.053687
31,47577248,Artificial Intelligence,openai undergoing significant strategic pivot developing world models,lda,0,0.602665,0.602665,0.035883,0.323642,0.03781
32,47576402,Artificial Intelligence,openai,lda,2,0.621073,0.125002,0.125003,0.621073,0.128922
33,47575882,Artificial Intelligence,openai ip ranges known,lda,2,0.745817,0.086327,0.083392,0.745817,0.084464
34,47570708,Artificial Intelligence,integrity openai basically oxymoron point,lda,3,0.805584,0.062511,0.064229,0.067676,0.805584
35,47570210,Artificial Intelligence,fallout openai goes,lda,2,0.747349,0.083355,0.084874,0.747349,0.084422
36,47430786,Artificial Intelligence,yea afraid ai atrophies brain,lda,2,0.620734,0.127355,0.125005,0.620734,0.126906
37,47054845,Artificial Intelligence,llvm low level virtual machine llm large language model,lda,2,0.915477,0.028946,0.027787,0.915477,0.027789
38,47552815,Artificial Intelligence,llm logic weights derived machine learning,lda,2,0.874968,0.041675,0.041677,0.874968,0.041679
39,47475499,Artificial Intelligence,finally machine learning model confirm lack self control,lda,2,0.892218,0.035794,0.035806,0.892218,0.036181
40,47306185,Artificial Intelligence,wait decision tree machine learning,lda,2,0.812129,0.062852,0.062509,0.812129,0.06251
41,47255735,Artificial Intelligence,heard machine learning,lda,2,0.800448,0.062524,0.072511,0.800448,0.064516
42,47179507,Artificial Intelligence,does ai meant machine learning 2001,lda,2,0.84757,0.050639,0.050002,0.84757,0.051788
43,47134171,Artificial Intelligence,translation main application applied language machine learning,lda,2,0.892495,0.036038,0.035737,0.892495,0.035731
44,46729320,Artificial Intelligence,essentially manifold hypothesis machine learning right,lda,2,0.87122,0.043951,0.043139,0.87122,0.041691
45,46626860,Artificial Intelligence,blog writes machine learning programing,lda,2,0.81248,0.062505,0.062506,0.81248,0.062508
46,46449277,Artificial Intelligence,thanks letting know chatgpt told,lda,3,0.846431,0.050553,0.052164,0.050852,0.846431
47,46443858,Artificial Intelligence,like ai chat chatgpt ai chats interchangeable,lda,2,0.869289,0.044724,0.041673,0.869289,0.044314
48,46440286,Artificial Intelligence,did write comment chatgpt,lda,3,0.451875,0.444089,0.050019,0.054016,0.451875
49,46431055,Artificial Intelligence,website optimized searches chatgpt gemini claude,lda,3,0.846404,0.050254,0.050019,0.053323,0.846404
50,46428650,Artificial Intelligence,sounds like cookie cutter chatgpt reply,lda,2,0.795985,0.071437,0.062505,0.795985,0.070073
51,46427822,Artificial Intelligence,chatgpt told mcdonald,lda,3,0.748066,0.08335,0.084438,0.084147,0.748066
52,46446488,Artificial Intelligence,training ai models investing ai companies openai,lda,2,0.496954,0.437862,0.031841,0.496954,0.033343
53,46444887,Artificial Intelligence,sure make openai stock liquid pretty easily,lda,2,0.866918,0.042172,0.043871,0.866918,0.047038
54,46443096,Artificial Intelligence,deepseek invested openai,lda,2,0.748897,0.083347,0.083351,0.748897,0.084405
55,46442802,Artificial Intelligence,openais losses taxed earnings,lda,0,0.25,0.25,0.25,0.25,0.25
56,46442425,Artificial Intelligence,openai optimize future,lda,2,0.739822,0.092309,0.083393,0.739822,0.084476
57,46439901,Artificial Intelligence,mathematically impossible openai promising citation needed,lda,2,0.849641,0.050018,0.050023,0.849641,0.050318
58,46436211,Artificial Intelligence,openai way commercially successful,lda,3,0.800047,0.063123,0.068359,0.068472,0.800047
59,46393258,Artificial Intelligence,pluribus certainly commentary software machine learning models,lda,2,0.872898,0.041895,0.041684,0.872898,0.043523
60,46329242,Artificial Intelligence,afaik enemies trained machine learning,lda,2,0.812461,0.062511,0.062513,0.812461,0.062515
61,46090660,Artificial Intelligence,sounds awfully like machine learning doesn,lda,2,0.870682,0.044287,0.042049,0.870682,0.042982
62,45607623,Artificial Intelligence,translation moreso machine learning generative hallucinations chatbot,lda,2,0.849955,0.050012,0.050015,0.849955,0.050018
63,45593096,Artificial Intelligence,actual machine learning yesterday hype today humility,lda,2,0.873723,0.042167,0.041686,0.873723,0.042424
64,45431199,Artificial Intelligence,just ask chatgpt design airplane easy,lda,3,0.873111,0.042277,0.042211,0.042401,0.873111
65,45422816,Artificial Intelligence,chatgpt pulse solves,lda,3,0.749138,0.08335,0.083353,0.084159,0.749138
66,45422225,Artificial Intelligence,sounds bit similar chatgpt pulse,lda,3,0.511375,0.041683,0.042848,0.404094,0.511375
67,45421206,Artificial Intelligence,fact remains chatgpt did claude did,lda,2,0.888618,0.03625,0.03591,0.888618,0.039222
68,45416172,Artificial Intelligence,curious chatgpt5 chatgpt5 codex,lda,2,0.745955,0.083401,0.087203,0.745955,0.08344
69,45411073,Artificial Intelligence,chatgpt invent love creativity,lda,3,0.745615,0.086881,0.083353,0.084151,0.745615
70,45421135,Artificial Intelligence,thought openai campaigned real hard,lda,3,0.845197,0.050932,0.050701,0.05317,0.845197
71,45400284,Artificial Intelligence,seven op referred openai anthropic,lda,2,0.849334,0.050338,0.050017,0.849334,0.050311
72,45400204,Artificial Intelligence,openai anthropic day job,lda,2,0.848204,0.05049,0.050988,0.848204,0.050317
73,45398258,Artificial Intelligence,ironic crawler openai,lda,2,0.745756,0.086387,0.083392,0.745756,0.084464
74,45375856,Artificial Intelligence,watch meta openai going eat lunch,lda,3,0.845282,0.05025,0.051045,0.053423,0.845282
75,44800370,Artificial Intelligence,gpt oss models reportedly hosted huggingface,lda,2,0.812081,0.062516,0.062519,0.812081,0.062884
76,45365864,Artificial Intelligence,doesn zama homomorphic machine learning product,lda,2,0.846989,0.050332,0.05059,0.846989,0.052089
77,45197881,Artificial Intelligence,means exactly machine learning researcher,lda,2,0.872534,0.043433,0.041687,0.872534,0.042345
78,45178989,Artificial Intelligence,eda chip design uses machine learning,lda,2,0.848795,0.050019,0.050024,0.848795,0.051162
79,44970346,Artificial Intelligence,context sharing heuristic transformers machine learning promising,lda,2,0.849961,0.05001,0.050014,0.849961,0.050015
80,44851673,Artificial Intelligence,positronic neural network outperforms machine learning used today headduck,lda,2,0.873901,0.042727,0.041685,0.873901,0.041688
81,44851461,Artificial Intelligence,machine learning street talk interview team,lda,2,0.849647,0.050321,0.050015,0.849647,0.050017
82,44723447,Artificial Intelligence,machine learning 20 programming 30 math 50 demon summoning,lda,2,0.47535,0.450657,0.036868,0.47535,0.037124
83,44425382,Artificial Intelligence,kind chatgpt psychosis,lda,2,0.610487,0.083344,0.083345,0.610487,0.222824
84,44417064,Artificial Intelligence,think chatgpt got information,lda,3,0.846783,0.052627,0.050011,0.05058,0.846783
85,44415378,Artificial Intelligence,pushing pure chatgpt authored blog posts,lda,2,0.842878,0.053245,0.050032,0.842878,0.053845
86,44406376,Artificial Intelligence,feel like article written chatgpt,lda,3,0.541384,0.373372,0.042461,0.042783,0.541384
87,44399707,Artificial Intelligence,discussion chatgpt enterprise success copilot fuels openai microsoft rivalry,lda,3,0.670249,0.035726,0.036166,0.257859,0.670249
88,44397874,Artificial Intelligence,big fan deferring morality chatgpt ai,lda,0,0.592214,0.592214,0.05002,0.058281,0.299485
89,44384224,Artificial Intelligence,link adrafinil utm source chatgpt com,lda,3,0.848091,0.051467,0.050204,0.050238,0.848091
90,44379906,Artificial Intelligence,believe talking openai api chatgpt,lda,3,0.871099,0.041891,0.042489,0.044521,0.871099
91,44419960,Artificial Intelligence,open does mean open source anymore thanks openai,lda,3,0.914709,0.028463,0.027833,0.028995,0.914709
92,44403801,Artificial Intelligence,deepseek published thinking trace openai did,lda,2,0.847849,0.050574,0.050022,0.847849,0.051555
93,44403237,Artificial Intelligence,difficulties accessing openai data provider,lda,1,0.56173,0.062515,0.56173,0.31134,0.064415
94,44398204,Artificial Intelligence,corporations really comfortable dumping data files openai,lda,2,0.720227,0.036172,0.206389,0.720227,0.037211
